i,ID,MIG.grey,Aniso.grey,Timestamp,DateAndTime,PLOT,CAM
1,WSCT0003.JPG,0.225524415,1.024873868,22/06/2016 13:39,2015:05:21 14:57:03,LADERA,3
2,WSCT0004.JPG,0.192181028,0.958773636,22/06/2016 13:39,2015:05:22 09:00:01,LADERA,3
3,WSCT0005.JPG,0.192615747,0.953535433,22/06/2016 13:39,2015:05:22 10:00:01,LADERA,3
4,WSCT0006.JPG,0.240245397,0.960797193,22/06/2016 13:39,2015:05:22 11:00:01,LADERA,3
5,WSCT0007.JPG,0.262132292,0.953471048,22/06/2016 13:40,2015:05:22 12:00:01,LADERA,3
6,WSCT0008.JPG,0.262590834,0.980456706,22/06/2016 13:40,2015:05:22 13:00:01,LADERA,3
7,WSCT0009.JPG,0.222532124,0.991442789,22/06/2016 13:40,2015:05:22 14:00:01,LADERA,3
8,WSCT0010.JPG,0.234993433,0.967181633,22/06/2016 13:41,2015:05:23 09:00:01,LADERA,3
9,WSCT0011.JPG,0.228982678,0.95177918,22/06/2016 13:41,2015:05:23 10:00:01,LADERA,3
10,WSCT0012.JPG,0.230733871,0.950910895,22/06/2016 13:41,2015:05:23 11:00:01,LADERA,3
11,WSCT0013.JPG,0.224171176,0.967915265,22/06/2016 13:42,2015:05:23 12:00:01,LADERA,3
12,WSCT0014.JPG,0.243432222,0.980656717,22/06/2016 13:42,2015:05:23 13:00:01,LADERA,3
13,WSCT0015.JPG,0.217102849,0.976796406,22/06/2016 13:42,2015:05:23 14:00:01,LADERA,3
14,WSCT0016.JPG,0.188333812,0.971071536,22/06/2016 13:42,2015:05:24 09:00:01,LADERA,3
15,WSCT0017.JPG,0.150690258,0.953068054,22/06/2016 13:43,2015:05:24 10:00:01,LADERA,3
16,WSCT0018.JPG,0.191714253,0.958954515,22/06/2016 13:43,2015:05:24 11:00:01,LADERA,3
17,WSCT0019.JPG,0.25277044,0.959377022,22/06/2016 13:43,2015:05:24 12:00:01,LADERA,3
18,WSCT0020.JPG,0.23444705,0.974972849,22/06/2016 13:44,2015:05:24 13:00:01,LADERA,3
19,WSCT0021.JPG,0.221294072,0.994316824,22/06/2016 13:44,2015:05:24 14:00:01,LADERA,3
20,WSCT0022.JPG,0.205159903,0.958746983,22/06/2016 13:44,2015:05:25 09:00:01,LADERA,3
21,WSCT0023.JPG,0.228677466,0.950929864,22/06/2016 13:45,2015:05:25 10:00:01,LADERA,3
22,WSCT0024.JPG,0.219623995,0.956021962,22/06/2016 13:45,2015:05:25 11:00:01,LADERA,3
23,WSCT0025.JPG,0.254234694,0.944205581,22/06/2016 13:45,2015:05:25 12:00:01,LADERA,3
24,WSCT0026.JPG,0.238828596,0.975414621,22/06/2016 13:45,2015:05:25 13:00:01,LADERA,3
25,WSCT0027.JPG,0.21342004,0.991198693,22/06/2016 13:46,2015:05:25 14:00:01,LADERA,3
26,WSCT0028.JPG,0.231670345,0.972933651,22/06/2016 13:46,2015:05:26 09:00:01,LADERA,3
27,WSCT0029.JPG,0.230644007,0.979117931,22/06/2016 13:46,2015:05:26 10:00:01,LADERA,3
28,WSCT0030.JPG,0.218266009,0.965901104,22/06/2016 13:47,2015:05:26 11:00:01,LADERA,3
29,WSCT0031.JPG,0.223066212,0.962559562,22/06/2016 13:47,2015:05:26 12:00:01,LADERA,3
30,WSCT0032.JPG,0.216077655,0.971788844,22/06/2016 13:47,2015:05:26 13:00:01,LADERA,3
31,WSCT0033.JPG,0.213085991,0.986487825,22/06/2016 13:48,2015:05:26 14:00:01,LADERA,3
32,WSCT0034.JPG,0.219647921,0.968286665,22/06/2016 13:48,2015:05:27 09:00:01,LADERA,3
33,WSCT0035.JPG,0.225521985,0.960776315,22/06/2016 13:48,2015:05:27 10:00:01,LADERA,3
34,WSCT0036.JPG,0.225180849,0.953465458,22/06/2016 13:48,2015:05:27 11:00:01,LADERA,3
35,WSCT0037.JPG,0.234067574,0.953180362,22/06/2016 13:49,2015:05:27 12:00:01,LADERA,3
36,WSCT0038.JPG,0.247990402,0.977020706,22/06/2016 13:49,2015:05:27 13:00:01,LADERA,3
37,WSCT0039.JPG,0.213584206,0.99356059,22/06/2016 13:49,2015:05:27 14:00:01,LADERA,3
38,WSCT0040.JPG,0.217180536,0.975712535,22/06/2016 13:50,2015:05:28 09:00:01,LADERA,3
39,WSCT0041.JPG,0.206392519,0.956502279,22/06/2016 13:50,2015:05:28 10:00:01,LADERA,3
40,WSCT0042.JPG,0.214952307,0.976449513,22/06/2016 13:50,2015:05:28 11:00:01,LADERA,3
41,WSCT0043.JPG,0.217939948,0.961226275,22/06/2016 13:51,2015:05:28 12:00:01,LADERA,3
