Country,Y1980,Y1981,Y1982,Y1983
Afghanistan,21.48678,21.46552,21.45145,21.43822
Albania,25.22533,25.23981,25.25636,25.27176
Algeria,22.25703,22.34745,22.43647,22.52105
Andorra,25.66652,25.70868,25.74681,25.7825
Angola,20.94876,20.94371,20.93754,20.93187
Antigua and Barbuda,23.31424,23.39054,23.45883,23.53735
Argentina,25.37913,25.44951,25.50242,25.55644
Armenia,23.82469,23.86401,23.91023,23.95649
Australia,24.92729,25.00216,25.0766,25.14938
Austria,24.84097,24.8811,24.93482,24.98118
Azerbaijan,24.49375,24.52584,24.56064,24.6015
Bahamas,24.21064,24.30814,24.4275,24.54415
Bahrain,23.97588,24.09045,24.20617,24.32335
Bangladesh,20.51918,20.47766,20.43741,20.40075
Barbados,24.36372,24.43455,24.49314,24.54713
Belarus,24.90898,24.90986,24.91623,24.91568
Belgium,25.09879,25.12474,25.16059,25.18982
Belize,24.54345,24.63418,24.71853,24.76496
Benin,20.80754,20.83999,20.88208,20.90821
Bermuda,25.07881,25.19625,25.31163,25.4399
Bhutan,21.81929,21.80187,21.78799,21.77328
Bolivia,23.00319,23.04351,23.07385,23.08641
Bosnia and Herzegovina,25.32025,25.33178,25.35258,25.37304
Botswana,19.54182,19.5797,19.62362,19.66629
Brazil,22.63867,22.72772,22.81802,22.89804
British Virgin Islands,23.74249,23.79803,23.85294,23.91227
Brunei,23.23982,23.27246,23.30495,23.3387
Bulgaria,25.28913,25.34139,25.39515,25.44814
Burkina Faso,20.03144,20.06225,20.09198,20.11975
Burundi,21.08872,21.11359,21.12784,21.13206
Cambodia,19.69966,19.70779,19.7174,19.73194
Cameroon,21.78602,21.86229,21.94666,22.03968
Canada,25.24074,25.33069,25.4102,25.48895
Cape Verde,20.65607,20.71493,20.77269,20.84066
Central African Rep.,20.95858,20.96244,20.96119,20.94252
Chad,20.22551,20.2271,20.2314,20.25014
Chile,24.48362,24.56329,24.62478,24.67812
China,21.5784,21.58356,21.5955,21.61408
Colombia,22.07035,22.1769,22.26799,22.36244
Comoros,20.98163,21.0066,21.04036,21.07561
"Congo, Dem. Rep.",20.74786,20.73587,20.72111,20.70907
"Congo, Rep.",20.63666,20.69499,20.76571,20.83255
Cook Islands,26.2025,26.43064,26.67362,26.90854
Costa Rica,23.6937,23.76567,23.82701,23.88394
Cote d'Ivoire,21.12741,21.18081,21.22675,21.27402
Croatia,25.28752,25.3169,25.34765,25.37672
Cuba,22.73085,22.80724,22.89338,22.98056
Cyprus,25.33529,25.37046,25.42285,25.4805
Czech Rep.,26.30589,26.35295,26.40544,26.45339
Denmark,24.5632,24.56873,24.57527,24.58004
Djibouti,21.23864,21.31928,21.40683,21.48918
Dominica,22.319,22.38872,22.46119,22.51509
Dominican Rep.,22.92812,22.97861,23.02566,23.07558
Ecuador,23.79064,23.85029,23.90204,23.94343
Egypt,24.25654,24.34966,24.44688,24.54141
El Salvador,23.77156,23.83422,23.8904,23.94184
Equatorial Guinea,21.0889,21.10687,21.12008,21.13055
Eritrea,20.01453,20.04318,20.06819,20.09359
Estonia,24.68737,24.69421,24.70221,24.70975
Ethiopia,19.47815,19.50485,19.52747,19.55625
Fiji,22.28238,22.43676,22.57832,22.71827
Finland,25.46078,25.4801,25.50321,25.52352
France,24.70702,24.73514,24.76177,24.78531
French Polynesia,25.41759,25.60073,25.7889,25.97905
Gabon,22.27217,22.32139,22.37964,22.44393
Gambia,19.94139,19.97059,20.00107,20.03257
Georgia,24.61762,24.66646,24.71051,24.76342
Germany,25.46227,25.50636,25.55565,25.59814
Ghana,21.01212,21.01867,21.01856,21.01256
Greece,24.80837,24.85004,24.88029,24.91068
Greenland,24.46978,24.52714,24.57298,24.62106
Grenada,23.27113,23.31463,23.36183,23.40248
Guatemala,23.18719,23.26498,23.33675,23.39964
Guinea,21.14949,21.1717,21.19272,21.2101
Guinea-Bissau,20.71293,20.72467,20.74743,20.76258
Guyana,22.71432,22.73525,22.74163,22.74203
Haiti,22.90655,22.93626,22.9583,22.97473
Honduras,23.13391,23.1985,23.25895,23.31384
"Hong Kong, China",21.63375,21.75267,21.86784,21.98671
Hungary,25.28424,25.35008,25.42012,25.48757
Iceland,24.82734,24.92462,25.00838,25.07729
India,21.09132,21.04581,21.00317,20.96066
Indonesia,19.85723,19.90366,19.94077,19.98318
Iran,23.16184,23.23424,23.31364,23.4015
Iraq,24.98391,25.07866,25.16866,25.25453
Ireland,25.80942,25.83961,25.86538,25.88202
Israel,24.76857,24.79572,24.84701,24.8947
Italy,25.4106,25.41417,25.41974,25.42467
